game_id,target,value,reason
TRKR1/450224,first_dragon_side,RED,firstdragon_flags
TRKR1/450224,more_dragons_side,,missing_dragon_count
TRKR1/450224,first_four_dragon_side,,missing_source_count
TRKR1/450224,dragon_soul_side,N/A,system_not_available
TRKR1/450224,elder_dragon_side,N/A,system_not_available
TRKR1/450224,first_baron_side,BLUE,team_totals
TRKR1/450224,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450224,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440185,winner_side,BLUE,team_totals
TRKR1/440185,first_dragon_side,RED,firstdragon_flags
TRKR1/440185,more_dragons_side,,missing_dragon_count
TRKR1/440185,first_four_dragon_side,,missing_source_count
TRKR1/440185,dragon_soul_side,N/A,system_not_available
TRKR1/440185,elder_dragon_side,N/A,system_not_available
TRKR1/440185,first_baron_side,NONE,team_totals
TRKR1/440185,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440185,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450226,winner_side,BLUE,team_totals
TRKR1/450226,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450226,more_dragons_side,,missing_dragon_count
TRKR1/450226,first_four_dragon_side,,missing_source_count
TRKR1/450226,dragon_soul_side,N/A,system_not_available
TRKR1/450226,elder_dragon_side,N/A,system_not_available
TRKR1/450226,first_baron_side,BLUE,team_totals
TRKR1/450226,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450226,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440202,winner_side,RED,team_totals
TRKR1/440202,first_dragon_side,RED,firstdragon_flags
TRKR1/440202,more_dragons_side,,missing_dragon_count
TRKR1/440202,first_four_dragon_side,,missing_source_count
TRKR1/440202,dragon_soul_side,N/A,system_not_available
TRKR1/440202,elder_dragon_side,N/A,system_not_available
TRKR1/440202,first_baron_side,NONE,team_totals
TRKR1/440202,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440202,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450241,winner_side,BLUE,team_totals
TRKR1/450241,first_dragon_side,RED,firstdragon_flags
TRKR1/450241,more_dragons_side,,missing_dragon_count
TRKR1/450241,first_four_dragon_side,,missing_source_count
TRKR1/450241,dragon_soul_side,N/A,system_not_available
TRKR1/450241,elder_dragon_side,N/A,system_not_available
TRKR1/450241,first_baron_side,BLUE,team_totals
TRKR1/450241,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450241,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450248,winner_side,RED,team_totals
TRKR1/450248,first_dragon_side,RED,firstdragon_flags
TRKR1/450248,more_dragons_side,,missing_dragon_count
TRKR1/450248,first_four_dragon_side,,missing_source_count
TRKR1/450248,dragon_soul_side,N/A,system_not_available
TRKR1/450248,elder_dragon_side,N/A,system_not_available
TRKR1/450248,first_baron_side,RED,team_totals
TRKR1/450248,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450248,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450250,winner_side,RED,team_totals
TRKR1/450250,first_dragon_side,RED,firstdragon_flags
TRKR1/450250,more_dragons_side,,missing_dragon_count
TRKR1/450250,first_four_dragon_side,,missing_source_count
TRKR1/450250,dragon_soul_side,N/A,system_not_available
TRKR1/450250,elder_dragon_side,N/A,system_not_available
TRKR1/450250,first_baron_side,NONE,team_totals
TRKR1/450250,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450250,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450251,winner_side,RED,team_totals
TRKR1/450251,first_dragon_side,RED,firstdragon_flags
TRKR1/450251,more_dragons_side,,missing_dragon_count
TRKR1/450251,first_four_dragon_side,,missing_source_count
TRKR1/450251,dragon_soul_side,N/A,system_not_available
TRKR1/450251,elder_dragon_side,N/A,system_not_available
TRKR1/450251,first_baron_side,RED,team_totals
TRKR1/450251,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450251,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450302,winner_side,BLUE,team_totals
TRKR1/450302,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450302,more_dragons_side,,missing_dragon_count
TRKR1/450302,first_four_dragon_side,,missing_source_count
TRKR1/450302,dragon_soul_side,N/A,system_not_available
TRKR1/450302,elder_dragon_side,N/A,system_not_available
TRKR1/450302,first_baron_side,BLUE,team_totals
TRKR1/450302,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450302,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450303,winner_side,BLUE,team_totals
TRKR1/450303,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450303,more_dragons_side,,missing_dragon_count
TRKR1/450303,first_four_dragon_side,,missing_source_count
TRKR1/450303,dragon_soul_side,N/A,system_not_available
TRKR1/450303,elder_dragon_side,N/A,system_not_available
TRKR1/450303,first_baron_side,BLUE,team_totals
TRKR1/450303,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450303,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450304,winner_side,RED,team_totals
TRKR1/450304,first_dragon_side,RED,firstdragon_flags
TRKR1/450304,more_dragons_side,,missing_dragon_count
TRKR1/450304,first_four_dragon_side,,missing_source_count
TRKR1/450304,dragon_soul_side,N/A,system_not_available
TRKR1/450304,elder_dragon_side,N/A,system_not_available
TRKR1/450304,first_baron_side,NONE,team_totals
TRKR1/450304,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450304,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440313,winner_side,RED,team_totals
TRKR1/440313,first_dragon_side,RED,firstdragon_flags
TRKR1/440313,more_dragons_side,,missing_dragon_count
TRKR1/440313,first_four_dragon_side,,missing_source_count
TRKR1/440313,dragon_soul_side,N/A,system_not_available
TRKR1/440313,elder_dragon_side,N/A,system_not_available
TRKR1/440313,first_baron_side,RED,team_totals
TRKR1/440313,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440313,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440316,winner_side,BLUE,team_totals
TRKR1/440316,first_dragon_side,BLUE,firstdragon_flags
TRKR1/440316,more_dragons_side,,missing_dragon_count
TRKR1/440316,first_four_dragon_side,,missing_source_count
TRKR1/440316,dragon_soul_side,N/A,system_not_available
TRKR1/440316,elder_dragon_side,N/A,system_not_available
TRKR1/440316,first_baron_side,NONE,team_totals
TRKR1/440316,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440316,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440323,winner_side,BLUE,team_totals
TRKR1/440323,first_dragon_side,RED,firstdragon_flags
TRKR1/440323,more_dragons_side,,missing_dragon_count
TRKR1/440323,first_four_dragon_side,,missing_source_count
TRKR1/440323,dragon_soul_side,N/A,system_not_available
TRKR1/440323,elder_dragon_side,N/A,system_not_available
TRKR1/440323,first_baron_side,BLUE,team_totals
TRKR1/440323,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440323,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440328,winner_side,RED,team_totals
TRKR1/440328,first_dragon_side,RED,firstdragon_flags
TRKR1/440328,more_dragons_side,,missing_dragon_count
TRKR1/440328,first_four_dragon_side,,missing_source_count
TRKR1/440328,dragon_soul_side,N/A,system_not_available
TRKR1/440328,elder_dragon_side,N/A,system_not_available
TRKR1/440328,first_baron_side,RED,team_totals
TRKR1/440328,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440328,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450380,winner_side,RED,team_totals
TRKR1/450380,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450380,more_dragons_side,,missing_dragon_count
TRKR1/450380,first_four_dragon_side,,missing_source_count
TRKR1/450380,dragon_soul_side,N/A,system_not_available
